--- NEAT Snake Fitness Evolution ---
Generation 0: Best Fitness = 10.54 | Approx Apples = 1
Generation 1: Best Fitness = 11.02 | Approx Apples = 1
Generation 2: Best Fitness = 20.29 | Approx Apples = 2
Generation 3: Best Fitness = 20.29 | Approx Apples = 2
Generation 4: Best Fitness = 20.59 | Approx Apples = 2
Generation 5: Best Fitness = 20.59 | Approx Apples = 2
Generation 6: Best Fitness = 20.59 | Approx Apples = 2
Generation 7: Best Fitness = 20.59 | Approx Apples = 2
Generation 8: Best Fitness = 20.59 | Approx Apples = 2
Generation 9: Best Fitness = 20.59 | Approx Apples = 2
Generation 10: Best Fitness = 20.59 | Approx Apples = 2
Generation 11: Best Fitness = 20.59 | Approx Apples = 2
Generation 12: Best Fitness = 20.59 | Approx Apples = 2
Generation 13: Best Fitness = 20.59 | Approx Apples = 2
Generation 14: Best Fitness = 20.59 | Approx Apples = 2
Generation 15: Best Fitness = 20.59 | Approx Apples = 2
Generation 16: Best Fitness = 20.59 | Approx Apples = 2
Generation 17: Best Fitness = 20.59 | Approx Apples = 2
Generation 18: Best Fitness = 24.48 | Approx Apples = 2
Generation 19: Best Fitness = 24.48 | Approx Apples = 2
Generation 20: Best Fitness = 24.48 | Approx Apples = 2
Generation 21: Best Fitness = 24.48 | Approx Apples = 2
Generation 22: Best Fitness = 24.48 | Approx Apples = 2
Generation 23: Best Fitness = 24.48 | Approx Apples = 2
Generation 24: Best Fitness = 24.48 | Approx Apples = 2
Generation 25: Best Fitness = 24.48 | Approx Apples = 2
Generation 26: Best Fitness = 24.64 | Approx Apples = 2
Generation 27: Best Fitness = 24.64 | Approx Apples = 2
Generation 28: Best Fitness = 24.64 | Approx Apples = 2
Generation 29: Best Fitness = 24.64 | Approx Apples = 2
Generation 30: Best Fitness = 34.64 | Approx Apples = 3
Generation 31: Best Fitness = 34.64 | Approx Apples = 3
Generation 32: Best Fitness = 34.64 | Approx Apples = 3
Generation 33: Best Fitness = 34.64 | Approx Apples = 3
Generation 34: Best Fitness = 34.64 | Approx Apples = 3
Generation 35: Best Fitness = 34.64 | Approx Apples = 3
Generation 36: Best Fitness = 34.64 | Approx Apples = 3
Generation 37: Best Fitness = 34.64 | Approx Apples = 3
Generation 38: Best Fitness = 34.64 | Approx Apples = 3
Generation 39: Best Fitness = 34.64 | Approx Apples = 3
Generation 40: Best Fitness = 34.64 | Approx Apples = 3
Generation 41: Best Fitness = 34.64 | Approx Apples = 3
Generation 42: Best Fitness = 34.64 | Approx Apples = 3
Generation 43: Best Fitness = 34.64 | Approx Apples = 3
Generation 44: Best Fitness = 34.64 | Approx Apples = 3
Generation 45: Best Fitness = 34.64 | Approx Apples = 3
Generation 46: Best Fitness = 34.64 | Approx Apples = 3
Generation 47: Best Fitness = 34.64 | Approx Apples = 3
Generation 48: Best Fitness = 34.64 | Approx Apples = 3
Generation 49: Best Fitness = 34.64 | Approx Apples = 3
